CIS_OBEC;NAZ_OBEC;TYP_OBEC;OKRSKY_CELKEM;OKRSKY_ZPRAC;OKRSKY_ZPRAC_PROC;ZAPSANI_VOLICI;VYDANE_OBALKY;UCAST_PROC;ODEVZDANE_OBALKY;PLATNE_HLASY;PLATNE_HLASY_PROC;KSTRANA;HLASY;PROC_HLASU
502081;Ústí nad Labem-Neštěmice;MCMO;21;21;100.00;18007;4461;24.77;4457;4393;98.56;82;20;0.45
502316;Ústí nad Labem-Střekov;MCMO;17;17;100.00;11153;4363;39.12;4357;4287;98.39;3;42;0.97
502316;Ústí nad Labem-Střekov;MCMO;17;17;100.00;11153;4363;39.12;4357;4287;98.39;5;22;0.51
502316;Ústí nad Labem-Střekov;MCMO;17;17;100.00;11153;4363;39.12;4357;4287;98.39;7;445;10.38
502316;Ústí nad Labem-Střekov;MCMO;17;17;100.00;11153;4363;39.12;4357;4287;98.39;16;391;9.12
502316;Ústí nad Labem-Střekov;MCMO;17;17;100.00;11153;4363;39.12;4357;4287;98.39;18;9;0.20
502316;Ústí nad Labem-Střekov;MCMO;17;17;100.00;11153;4363;39.12;4357;4287;98.39;19;508;11.84
502316;Ústí nad Labem-Střekov;MCMO;17;17;100.00;11153;4363;39.12;4357;4287;98.39;23;1;0.02
502316;Ústí nad Labem-Střekov;MCMO;17;17;100.00;11153;4363;39.12;4357;4287;98.39;28;7;0.16
502316;Ústí nad Labem-Střekov;MCMO;17;17;100.00;11153;4363;39.12;4357;4287;98.39;33;442;10.31
502316;Ústí nad Labem-Střekov;MCMO;17;17;100.00;11153;4363;39.12;4357;4287;98.39;41;113;2.63
502316;Ústí nad Labem-Střekov;MCMO;17;17;100.00;11153;4363;39.12;4357;4287;98.39;42;327;7.62
502316;Ústí nad Labem-Střekov;MCMO;17;17;100.00;11153;4363;39.12;4357;4287;98.39;45;102;2.37
502316;Ústí nad Labem-Střekov;MCMO;17;17;100.00;11153;4363;39.12;4357;4287;98.39;50;1076;25.09
502316;Ústí nad Labem-Střekov;MCMO;17;17;100.00;11153;4363;39.12;4357;4287;98.39;63;246;5.73
502316;Ústí nad Labem-Střekov;MCMO;17;17;100.00;11153;4363;39.12;4357;4287;98.39;70;139;3.24
502316;Ústí nad Labem-Střekov;MCMO;17;17;100.00;11153;4363;39.12;4357;4287;98.39;71;9;0.20
502316;Ústí nad Labem-Střekov;MCMO;17;17;100.00;11153;4363;39.12;4357;4287;98.39;75;16;0.37
502316;Ústí nad Labem-Střekov;MCMO;17;17;100.00;11153;4363;39.12;4357;4287;98.39;77;376;8.77
502316;Ústí nad Labem-Střekov;MCMO;17;17;100.00;11153;4363;39.12;4357;4287;98.39;82;16;0.37
567892;Ústí nad Labem-město;MCMO;40;40;100.00;27966;10128;36.22;10118;10028;99.11;3;78;0.77
567892;Ústí nad Labem-město;MCMO;40;40;100.00;27966;10128;36.22;10118;10028;99.11;5;59;0.58
567892;Ústí nad Labem-město;MCMO;40;40;100.00;27966;10128;36.22;10118;10028;99.11;7;1207;12.03
567892;Ústí nad Labem-město;MCMO;40;40;100.00;27966;10128;36.22;10118;10028;99.11;16;778;7.75
